mpn	name	status	type	wifi	bluetooth	threadZigbee	operatingTemp	gpio	flash	sram	rom	psram	freq	dimensions	spq	moq	preFirmware	idfSupports	voltageRange
ESP32-S2-WROOM-I-H4	ESP32-S2-WROOM-I_High Temp Version	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 105	37	"4, Quad"	320	128	"0, Quad"	240	18*31*3.3	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-WROVER-N4R2	ESP32-S2-WROVER	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	37	"4, Quad"	320	128	"2, Quad"	240	18*31*3.3	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-WROVER-N8R2	ESP32-S2-WROVER(8MB)	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	37	"8, Quad"	320	128	"2, Quad"	240	18*31*3.3	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-WROVER-N16R2	ESP32-S2-WROVER(16MB)	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	37	"16, Quad"	320	128	"2, Quad"	240	18*31*3.3	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-WROVER-I-N4R2	ESP32-S2-WROVER-I	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	37	"4, Quad"	320	128	"2, Quad"	240	18*31*3.3	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-WROVER-I-N8R2	ESP32-S2-WROVER-I(8MB)	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	37	"8, Quad"	320	128	"2, Quad"	240	18*31*3.3	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-WROVER-I-N16R2	ESP32-S2-WROVER-I(16MB)	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	37	"16, Quad"	320	128	"2, Quad"	240	18*31*3.3	650	3250	NO	-	3.0 ~ 3.6
ESP32-WROOM-DA-N4	ESP32-WROOM-DA	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"4, Quad"	520	448	"0, Quad"	240	35.6*34.4*3.5	1000	1000	NO	v3.x	3.0 ~ 3.6
ESP32-WROOM-DA-N8	ESP32-WROOM-DA	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"8, Quad"	520	448	"0, Quad"	240	35.6*34.4*3.5	1000	1000	NO	v3.x	3.0 ~ 3.6
ESP32-WROOM-DA-N16	ESP32-WROOM-DA	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"16, Quad"	520	448	"0, Quad"	240	35.6*34.4*3.5	1000	1000	NO	v3.x	3.0 ~ 3.6
